_id,city,loc,pop,state
01350,MONROE,"[-72.960156,42.723885]",97,MA
02713,CUTTYHUNK,"[-70.87854,41.443601]",98,MA
04442,GREENVILLE JUNCT,"[-69.637526,45.488394]",99,ME
05748,HANCOCK,"[-72.913285,43.912525]",98,VT
11967,SHIRLEY,"[-72.876043,40.743932]",97,NY
16565,ERIE,"[-80.10011,42.0687]",97,PA
17888,WILBURTON,"[-76.392922,40.812087]",98,PA
23418,ONLEY,"[-75.6992,37.670422]",97,VA
25115,KANAWHA FALLS,"[-81.162753,38.107932]",98,WV
25847,SULLIVAN,"[-81.13048,37.790384]",99,WV
26680,RUSSELVILLE,"[-80.885777,38.10829]",99,WV
30148,MARBLE HILL,"[-84.337151,34.415353]",98,GA
37332,EVENSVILLE,"[-85.022773,35.615346]",99,TN
40807,BENHAM,"[-82.909399,36.957377]",98,KY
55111,FORT SNELLING,"[-93.202579,44.901548]",97,MN
59420,CARTER,"[-110.978593,47.780964]",99,MT
59642,RINGLING,"[-110.824214,46.285468]",97,MT
59916,ESSEX,"[-113.946678,48.494028]",98,MT
59928,POLEBRIDGE,"[-114.383558,48.820585]",97,MT
65758,SYCAMORE,"[-92.354355,36.67179]",97,MO
67071,LAKE CITY,"[-98.809833,37.356885]",97,KS
67472,OAKHILL,"[-97.330501,39.247668]",96,KS
74754,RINGOLD,"[-95.070387,34.179892]",97,OK
82052,BUFORD,"[-105.469697,41.142115]",97,WY
82332,SAVERY,"[-107.42338,41.039485]",97,WY
82428,HYATTVILLE,"[-107.605318,44.250693]",97,WY
87573,TERERRO,"[-105.645725,35.736881]",99,NM
87943,WINSTON,"[-107.667456,33.306089]",97,NM
89017,HIKO,"[-115.177158,37.651695]",97,NV
95728,SODA SPRINGS,"[-120.465493,39.338467]",96,CA
97751,PAULINA,"[-119.782768,44.210243]",98,OR
98158,SEATAC,"[-122.318454,47.442739]",97,WA
99574,CHENEGA BAY,"[-147.943316,60.102558]",96,AK
99788,CHALKYITSIK,"[-143.638121,66.719]",99,AK